Loại Kiến Thức,TT,QUESTIONS,A,B,C,D,ANS,rating
,302,Vertical limitation of the prohbited area over HoChiMinh city (VVP4) is:,From ground up to 3000m,From ground up to 2700m,From ground up to 1500m,From ground up to unlimited,1,SUP
,303,Airspace in TSN CTR is classified as :,Class A,Class B,Class C,Class D,3,SUP
,304,Vertical limitation of the Bien Hoa Restricted Area (VVR19) is:,From ground up to 7000m,From ground up to 4000m,From ground up to 3000m,From ground up to unlimited,1,SUP
,305,"When VIP arrives, airport operation will be restricted: ","05 minutes before landing time of VIP flight, the reserved RWY for VIP flight should be clear","05 minutes before landing time of VIP flight, all RWYs should be clear","05 minutes after VIP flight lands, that RWY can resume normal operation",None of the above,1,SUP
,306,"When VIP departs, airport operation will be restricted: ","05 minutes before VIP flight lines up, the reserved RWY for VIP flight should be clear","05 minutes before departure time of VIP flight, all RWYs should be clear.","05 minutes after VIP flight takes off, that RWY can resume normal operation",None of the above,1,SUP
,307,"When VIP arrives, the reserved RWY for VIP flight will be available: ",When VIP flight stops at the parking,After VIP flight vacates the RWY,05 minutes after VIP flight lands,None of the above,2,SUP
,308,"When VIP departs, the reserved RWY for VIP flight will be available:",03 minutes after VIP flight takes off,After VIP flight is airborne,05 minutes after VIP flight takes off,None of the above,2,SUP
,309, What is the frequency of DVOR/DME  TSH ?,118.7 MHz,118.7 KHz,116.7 MHz,116.7 KHz,3,SUP
,310,TSN TMA has lower limit :,From Ground,From 300 M,From 450 M,From 600 M,4,SUP
,311,Which feature does ATC use to measure distance between two targets on SMR display ?,Measure,Vector,Calculate,Non of above,2,SUP
,312,The warning RWY incursion distance from RWY centerline of TSN SMR system is:,70m,75m,80m,95m,4,SUP
,313,Collision warning on RWY of TSN SMR when:,Appear two apposite targets with velocity 5m/s or more,"Appear two same direction targets, and the speed of succeeding target is 7m/s or more compare to the preceeding target",1 and 2,1 or 2,4,SUP
,314,Collision Alerting on RWY of TSN SMR when:,Appear two apposite targets with velocity more than 5m/s,"Appear two same direction targets, and the speed of succeeding target is more than 9m/s compare to the preceeding target",1 or 2,1 and 2,3,SUP
,315,What is the interval of ATIS system at TSN airport ?,15 seconds,30 seconds,45 seconds,60 seconds,1,SUP
,316,The AFTN address of TSN TWR is:,VVTSZPZX,VVTSZAZX,VVTSZTZX,VVTSZYZX,3,SUP
,317,How many surveillance Radar at TSN airport ?,1,2,3,4,2,SUP
,318,What is the coverage of surveillance Radar (SSR) at TSN airport ?,200NM,250NM,250km,200km,2,SUP
,319,What is the coverage of PSR at TSN airport ?,100 km,80 km,160 km,80 NM,4,SUP
,320,The distance from the displaced threshold RWY 07R to DVOR/TSH is:,314 m,325 m,"1,200 m",905.7 m,4,SUP
,321,The frequency of NDB/GN is:,320 KHz,326 KHz,343 KHz,375 KHz,3,SUP
,322, The distance from the threshold RWY 25L to NDB/GN is:,960m,970m,980m,977m,4,SUP
,323,The position of ILS/GP- DME RWY 25R is:,905.7 m from the RWY 25R threshold,325 m from the RWY 25R threshold,The GP/DME ILS RWY 25R is 314 m from the RWY 25R threshold,"1,200 m from the RWY 25R threshold",3,SUP
,324,Refer to AIP Viet Nam: Elevation of threshold RWY 07R:,"9,9m",10m,"6,1m","5,4m",4,SUP
,325,The distance from ILS/LZZ RWY 25R to threshold of RWY 07L:,430m,340m,530m,350m,2,SUP
,326,"According to the current regulations , what is the parking number used for unlawful interference aircraft ?",North South TWY,Parking 70  2E,Parking 50,All of the above,2,SUP
,327,The distance from NDB GN to threshold of RWY 25L:,960m,970m,980m,977m,4,SUP
,328,Refer to AIP Viet Nam: Elevation of  threshold RWY 25R:,"9,9m",10m,"6,1m",5m,2,SUP
,329,"At TSN airport , TORA of runway 25L is :",3036m,3059m,3800m  3828m,4100m,3,SUP
,330,The distance from ILS/LZZ RWY 25R to threshold of RWY 07L:,430m,340m,530m,350m,2,SUP
,331,Aerodrome is: ,"A defined area on land (including any buildings, installations and equipment) intended to be used either wholly or in part for the arrival, departure and surface movement of aircraft.","A defined area on water (including any buildings, installations and equipment) intended to be used either wholly or in part for the arrival, departure and surface movement of aircraft.","A defined area (including any buildings, installations and equipment) intended to be used either wholly or in part for the arrival, departure and surface movement of aircraft.","A defined area on land or water (including any buildings, installations and equipment) intended to be used either wholly or in part for the arrival, departure and surface movement of aircraft.",4,SUP
,332,Heliport:,An aerodrome or a defined area on a structure intended to be used wholly or in part for the arrival and surface movement of helicopters.,An aerodrome or a defined area on a structure intended to be used wholly or in part for the departure and surface movement of helicopters.,An aerodrome or a defined area on a structure intended to be used wholly or in part for the en-route and surface movement of helicopters.,"An aerodrome or a defined area on a structure intended to be used wholly or in part for the arrival, departure and surface movement of helicopters.",4,SUP
,333,Manoeuvring area.,That part of an aerodrome to be used for the take-off aircraft.,"That part of an aerodrome to be used for the take-off, landing and taxiing of aircraft, excluding aprons.",That part of an aerodrome to be used for landing aircraft.,That part of an aerodrome to be used for the taxiing of aircraft.,2,SUP
,334,Movement area.,"That part of an aerodrome to be used for the take-off, landing and taxiing of aircraft, consisting of the manoeuvring area and the apron.","That part of an aerodrome to be used for the take-off, landing and taxiing of aircraft.","That part of an aerodrome to be used for the take-off and taxiing of aircraft, consisting of the manoeuvring area and the apron.","That part of an aerodrome to be used for the landing and taxiing of aircraft, consisting of the manoeuvring area and the apron.",1,SUP
